DATE,TIME,DEALER,SECURITY,SIZE BID,SIZE ASK,MKT BID,MKT ASK
7/14/2015,15:17:21,CITI,STACR 14-HQ2 M1,,,117,
7/14/2015,15:17:21,CITI,STACR 14-HQ3 M1,,,133,
7/14/2015,15:17:21,CITI,STACR 15-DNA1 M1,,,106,
7/14/2015,15:17:21,CITI,STACR 15-DN1 M1,,,111,
7/14/2015,15:17:21,CITI,STACR 15-DNA2 M1,,,118,
7/14/2015,15:17:21,CITI,STACR 15-HQ1 M1,,,112,
7/14/2015,15:17:21,CITI,STACR 15-HQ2 M1,,,118,
7/14/2015,15:17:21,CITI,STACR 14-DN3 M2,,,213,
7/14/2015,15:17:21,CITI,STACR 14-DN4 M2,,,211,
7/14/2015,15:17:21,CITI,STACR 14-HQ1 M2,,,222,
7/14/2015,15:17:21,CITI,STACR 14-HQ2 M2,,,224,
7/14/2015,15:17:21,CITI,STACR 14-HQ3 M2,,,220,
7/14/2015,15:17:21,CITI,STACR 15-DNA1 M2,,,217,
7/14/2015,15:17:21,CITI,STACR 15-DN1 M2,,,212,
7/14/2015,15:17:21,CITI,STACR 15-DNA2 M2,,,243,
7/14/2015,15:17:21,CITI,STACR 15-HQ1 M2,,,223,
7/14/2015,15:17:21,CITI,STACR 15-HQ2 M2,,,226,
7/14/2015,15:17:21,CITI,STACR 14-DN3 M3,,,420,
7/14/2015,15:17:21,CITI,STACR 14-DN4 M3,,,430,
7/14/2015,15:17:21,CITI,STACR 14-HQ2 M3,,,430,
7/14/2015,15:17:21,CITI,STACR 14-HQ3 M3,,,444,
7/14/2015,15:17:21,CITI,STACR 15-DNA1 M3,,,375,
7/14/2015,15:17:21,CITI,STACR 15-DN1 M3,,,406,
7/14/2015,15:17:21,CITI,STACR 15-DNA2 M3,,,418,
7/14/2015,15:17:21,CITI,STACR 15-HQ1 M3,,,412,
7/14/2015,15:17:21,CITI,STACR 15-HQ2 M3,,,380,
7/14/2015,15:17:21,CITI,CAS 14-C02 1M1,,,144,
7/14/2015,15:17:21,CITI,CAS 14-C02 2M1,,,142,
7/14/2015,15:17:21,CITI,CAS 14-C03 1M1,,,128,
7/14/2015,15:17:21,CITI,CAS 14-C03 2M1,,,132,
7/14/2015,15:17:21,CITI,CAS 14-C04 1M1,,,137,
7/14/2015,15:17:21,CITI,CAS 14-C04 2M1,,,143,
7/14/2015,15:17:21,CITI,CAS 15-C01 1M1,,,145,
7/14/2015,15:17:21,CITI,CAS 15-C01 2M1,,,145,
7/14/2015,15:17:21,CITI,CAS 15-C02 1M1,,,145,
7/14/2015,15:17:21,CITI,CAS 15-C02 2M1,,,145,
7/14/2015,15:17:21,CITI,CAS 14-C02 1M2,,,446,
7/14/2015,15:17:21,CITI,CAS 14-C02 2M2,,,446,
7/14/2015,15:17:21,CITI,CAS 14-C03 1M2,,,450,
7/14/2015,15:17:21,CITI,CAS 14-C03 2M2,,,450,
7/14/2015,15:17:21,CITI,CAS 14-C04 1M2,,,446,
7/14/2015,15:17:21,CITI,CAS 15-C01 1M2,,,456,
7/14/2015,15:17:21,CITI,CAS 15-C01 2M2,,,450,
7/14/2015,15:17:21,CITI,CAS 15-C02 1M2,,,465,
7/14/2015,15:17:21,CITI,CAS 15-C02 2M2,,,465,
