DATE,TIME,DEALER,SECURITY,SIZE BID,SIZE ASK,MKT BID,MKT ASK
7/13/2015,8:59:19,DB,STACR 2014-DN1 M1,5,,115,
7/13/2015,8:59:19,DB,STACR 2014-DN2 M1,5,,105,
7/13/2015,8:59:19,DB,STACR 2014-DN3 M1,5,,115,
7/13/2015,8:59:19,DB,STACR 2014-DN4 M1,5,,120,
7/13/2015,8:59:19,DB,STACR 2015-DN1 M1,5,,115,
7/13/2015,8:59:19,DB,STACR 2015-DNA1 M1,5,3.1,105,95
7/13/2015,8:59:19,DB,STACR 2015-DNA2 M1,5,4.5,115,105
7/13/2015,8:59:19,DB,STACR 2014-HQ1 M1,5,,140,
7/13/2015,8:59:19,DB,STACR 2014-HQ2 M1,5,0.3,120,110
7/13/2015,8:59:19,DB,STACR 2014-HQ3 M1,5,,135,
7/13/2015,8:59:19,DB,STACR 2015-HQ1 M1,5,5,115,105
7/13/2015,8:59:19,DB,CAS 2014-C02 1M1,5,5,150,140
7/13/2015,8:59:19,DB,CAS 2014-C03 1M1,5,,130,
7/13/2015,8:59:19,DB,CAS 2014-C04 1M1,5,,140,
7/13/2015,8:59:19,DB,CAS 2015-C01 1M1,5,,140,
7/13/2015,8:59:19,DB,CAS 2015-C02 1M1,5,,130,
7/13/2015,8:59:19,DB,CAS 2014-C03 2M1,5,5,135,125
7/13/2015,8:59:19,DB,CAS 2014-C04 2M1,5,,145,
7/13/2015,8:59:19,DB,CAS 2015-C01 2M1,5,,145,
7/13/2015,8:59:19,DB,CAS 2015-C02 2M1,5,,140,
7/13/2015,8:59:19,DB,STACR 2014-DN1 M2,5,,225,
7/13/2015,8:59:19,DB,STACR 2014-DN2 M2,5,,225,
7/13/2015,8:59:19,DB,STACR 2014-DN3 M2,5,,220,
7/13/2015,8:59:19,DB,STACR 2014-DN4 M2,5,,220,
7/13/2015,8:59:19,DB,STACR 2015-DN1 M2,5,,215,
7/13/2015,8:59:19,DB,STACR 2015-DNA1 M2,5,4,220,210
7/13/2015,8:59:19,DB,STACR 2015-DNA2 M2,5,,250,
7/13/2015,8:59:19,DB,STACR 2014-HQ1 M2,5,,225,
7/13/2015,8:59:19,DB,STACR 2014-HQ2 M2,5,0.3,230,220
7/13/2015,8:59:19,DB,STACR 2014-HQ3 M2,5,,240,
7/13/2015,8:59:19,DB,STACR 2015-HQ1 M2,5,5,220,210
7/14/2015,8:42:20,DB,STACR 2014-DN1 M1,5,,115,
7/14/2015,8:42:20,DB,STACR 2014-DN2 M1,5,,105,
7/14/2015,8:42:20,DB,STACR 2014-DN3 M1,5,,115,
7/14/2015,8:42:20,DB,STACR 2014-DN4 M1,5,,120,
7/14/2015,8:42:20,DB,STACR 2015-DN1 M1,5,,115,
7/14/2015,8:42:20,DB,STACR 2015-DNA1 M1,5,3.1,105,95
7/14/2015,8:42:20,DB,STACR 2015-DNA2 M1,5,4.5,115,105
7/14/2015,8:42:20,DB,STACR 2014-HQ1 M1,5,,140,
7/14/2015,8:42:20,DB,STACR 2014-HQ2 M1,5,0.3,120,110
7/14/2015,8:42:20,DB,STACR 2014-HQ3 M1,5,,135,
7/14/2015,8:42:20,DB,STACR 2015-HQ1 M1,5,5,115,105
7/14/2015,8:42:20,DB,CAS 2014-C02 1M1,5,5,150,140
7/14/2015,8:42:20,DB,CAS 2014-C03 1M1,5,,130,
7/14/2015,8:42:20,DB,CAS 2014-C04 1M1,5,,140,
7/14/2015,8:42:20,DB,CAS 2015-C01 1M1,5,,140,
7/14/2015,8:42:20,DB,CAS 2015-C02 1M1,5,,130,
7/14/2015,8:42:20,DB,CAS 2014-C03 2M1,5,5,135,125
7/14/2015,8:42:20,DB,CAS 2014-C04 2M1,5,,145,
7/14/2015,8:42:20,DB,CAS 2015-C01 2M1,5,,145,
7/14/2015,8:42:20,DB,CAS 2015-C02 2M1,5,,140,
7/14/2015,8:42:20,DB,STACR 2014-DN1 M2,5,,225,
7/14/2015,8:42:20,DB,STACR 2014-DN2 M2,5,,225,
7/14/2015,8:42:20,DB,STACR 2014-DN3 M2,5,,220,
7/14/2015,8:42:20,DB,STACR 2014-DN4 M2,5,,220,
7/14/2015,8:42:20,DB,STACR 2015-DN1 M2,5,,215,
7/14/2015,8:42:20,DB,STACR 2015-DNA1 M2,5,4,220,210
7/14/2015,8:42:20,DB,STACR 2015-DNA2 M2,5,,250,
7/14/2015,8:42:20,DB,STACR 2014-HQ1 M2,5,,225,
7/14/2015,8:42:20,DB,STACR 2014-HQ2 M2,5,0.3,230,220
7/14/2015,8:42:20,DB,STACR 2014-HQ3 M2,5,,240,
7/14/2015,8:42:20,DB,STACR 2015-HQ1 M2,5,5,220,210
7/14/2015,9:22:17,DB,STACR 2014-DN1 M1,5,,115,
7/14/2015,9:22:17,DB,STACR 2014-DN2 M1,5,,105,
7/14/2015,9:22:17,DB,STACR 2014-DN3 M1,5,,115,
7/14/2015,9:22:17,DB,STACR 2014-DN4 M1,5,,120,
7/14/2015,9:22:17,DB,STACR 2015-DN1 M1,5,,115,
7/14/2015,9:22:17,DB,STACR 2015-DNA1 M1,5,3.1,105,95
7/14/2015,9:22:17,DB,STACR 2015-DNA2 M1,5,4.5,115,105
7/14/2015,9:22:17,DB,STACR 2014-HQ1 M1,5,,140,
7/14/2015,9:22:17,DB,STACR 2014-HQ2 M1,5,0.3,120,110
7/14/2015,9:22:17,DB,STACR 2014-HQ3 M1,5,,135,
7/14/2015,9:22:17,DB,STACR 2015-HQ1 M1,5,5,115,105
7/14/2015,9:22:17,DB,CAS 2014-C02 1M1,5,5,150,140
7/14/2015,9:22:17,DB,CAS 2014-C03 1M1,5,,130,
7/14/2015,9:22:17,DB,CAS 2014-C04 1M1,5,,140,
7/14/2015,9:22:17,DB,CAS 2015-C01 1M1,5,,140,
7/14/2015,9:22:17,DB,CAS 2015-C02 1M1,5,,130,
7/14/2015,9:22:17,DB,CAS 2014-C03 2M1,5,5,135,125
7/14/2015,9:22:17,DB,CAS 2014-C04 2M1,5,,145,
7/14/2015,9:22:17,DB,CAS 2015-C01 2M1,5,,145,
7/14/2015,9:22:17,DB,CAS 2015-C02 2M1,5,,140,
7/14/2015,9:22:17,DB,STACR 2014-DN1 M2,5,,225,
7/14/2015,9:22:17,DB,STACR 2014-DN2 M2,5,,225,
7/14/2015,9:22:17,DB,STACR 2014-DN3 M2,5,,220,
7/14/2015,9:22:17,DB,STACR 2014-DN4 M2,5,,220,
