DATE,TIME,DEALER,SECURITY,SIZE BID,SIZE ASK,MKT BID,MKT ASK
7/13/2015,9:37:22,JPM,STACR 15-HQ2  M1,5,,125,
7/13/2015,9:37:22,JPM,CAS 15-C02 2M1,5,,150,
7/13/2015,9:37:22,JPM,STACR 15-HQ2  M2,3,,238,
7/13/2015,9:37:22,JPM,CAS 15-C02 2M2,3,,458,
7/13/2015,9:37:22,JPM,STACR 15-HQ2  M3,3,3,383,373
7/13/2015,9:37:22,JPM,STACR 15-HQ2  B,3,,770,
7/13/2015,9:37:22,JPM,CAS 15-C01 2M1,5,,152,
7/13/2015,9:37:22,JPM,CAS 15-C01 2M2,3,,458,
7/13/2015,9:37:22,JPM,STACR 15-HQ1  M1,5,,130,
7/13/2015,9:37:22,JPM,STACR 15-HQ1  M2,3,,253,
7/13/2015,9:37:22,JPM,CAS 14-C04 2M1,5,,155,
7/13/2015,9:37:22,JPM,STACR 15-HQ1  M3,3,,415,
7/13/2015,9:37:22,JPM,CAS 14-C04 2M2,3,,458,
7/13/2015,9:37:22,JPM,STACR 15-HQ1  B,3,,835,
7/13/2015,9:37:22,JPM,CAS 14-C03 2M1,5,,157,
7/13/2015,9:37:22,JPM,STACR 14-HQ3  M1,5,,150,
7/13/2015,9:37:22,JPM,CAS 14-C03 2M2,3,,458,
7/13/2015,9:37:22,JPM,STACR 14-HQ3  M2,3,,238,
7/13/2015,9:37:22,JPM,STACR 14-HQ3  M3,3,,445,
7/13/2015,9:37:22,JPM,CAS 14-C02 2M1,5,,160,
7/13/2015,9:37:22,JPM,CAS 14-C02 2M2,3,,452,
7/13/2015,9:37:22,JPM,STACR 14-HQ2  M1,5,,130,
7/13/2015,9:37:22,JPM,STACR 14-HQ2  M2,3,,238,
7/13/2015,9:37:22,JPM,CAS 15-C02 1M1,5,,145,
7/13/2015,9:37:22,JPM,STACR 14-HQ2  M3,3,3,433,421
7/13/2015,9:37:22,JPM,CAS 15-C02 1M2,3,,452,
7/13/2015,9:37:22,JPM,STACR 14-HQ1  M1,5,,142,
7/13/2015,9:37:22,JPM,CAS 15-C01 1M1,5,,145,
7/13/2015,9:37:22,JPM,STACR 14-HQ1  M2,3,,238,
7/13/2015,9:37:22,JPM,CAS 15-C01 1M2,3,3,450,437
7/13/2015,9:37:22,JPM,STACR 14-HQ1  M3,3,,442,
7/13/2015,9:37:22,JPM,CAS 14-C04 1M1,5,,145,
7/13/2015,9:37:22,JPM,STACR 15-DNA2 M1,5,,121,
7/13/2015,9:37:22,JPM,CAS 14-C04 1M2,3,,455,
7/13/2015,9:37:22,JPM,STACR 15-DNA2 M2,3,,258,
7/13/2015,9:37:22,JPM,STACR 15-DNA2 M3,3,,413,
7/13/2015,9:37:22,JPM,CAS 14-C03 1M1,5,,155,
7/13/2015,9:37:22,JPM,STACR 15-DNA2 B,3,,735,
7/13/2015,9:37:22,JPM,CAS 14-C03 1M2,3,,455,
7/13/2015,9:37:22,JPM,STACR 15-DNA1 M1,5,,115,
7/13/2015,9:37:22,JPM,CAS 14-C02 1M1,5,,155,
7/13/2015,9:37:22,JPM,STACR 15-DNA1 M2,3,,238,
7/13/2015,9:37:22,JPM,CAS 14-C02 1M2,3,,450,
7/13/2015,9:37:22,JPM,STACR 15-DNA1 M3,3,,374,
7/13/2015,9:37:22,JPM,STACR 15-DNA1 B,3,,705,
7/13/2015,9:37:22,JPM,CAS 14-C01 M1,5,,145,
7/13/2015,9:37:22,JPM,CAS 14-C01 M2,3,0,412,400
7/13/2015,9:37:22,JPM,STACR 15-DN1  M1,5,,130,
7/13/2015,9:37:22,JPM,STACR 15-DN1  M2,3,,238,
7/13/2015,9:37:22,JPM,CAS 13-C01 M1,5,,150,
7/13/2015,9:37:22,JPM,STACR 15-DN1  M3,3,3,406,393
7/13/2015,9:37:22,JPM,CAS 13-C01 M2,3,,400,
7/13/2015,9:37:22,JPM,STACR 15-DN1  B,3,,855,
7/13/2015,9:37:22,JPM,STACR 14-DN4  M1,5,,130,
7/13/2015,9:37:22,JPM,STACR 14-DN4  M2,3,,238,
7/13/2015,9:37:22,JPM,STACR 14-DN4  M3,3,,438,
7/13/2015,9:37:22,JPM,STACR 14-DN3  M1,5,,130,
7/13/2015,9:37:22,JPM,STACR 14-DN3  M2,3,,238,
7/13/2015,9:37:22,JPM,STACR 14-DN3  M3,3,,423,
7/13/2015,9:37:22,JPM,STACR 14-DN2  M1,5,,115,
7/13/2015,9:37:22,JPM,STACR 14-DN2  M2,3,,234,
7/13/2015,9:37:22,JPM,STACR 14-DN2  M3,3,3,424,412
7/13/2015,9:37:22,JPM,STACR 14-DN1  M1,5,,130,
7/13/2015,9:37:22,JPM,STACR 14-DN1  M2,3,,234,
7/13/2015,9:37:22,JPM,STACR 14-DN1  M3,3,,423,
7/13/2015,9:37:22,JPM,STACR 13-DN2  M1,5,,150,
7/13/2015,9:37:22,JPM,STACR 13-DN2  M2,3,,395,
7/13/2015,9:37:22,JPM,STACR 13-DN1  M1,5,,185,
7/13/2015,9:37:22,JPM,STACR 13-DN1  M2,3,,390,
